Scenario,Watershed,SubArea,Year,Precipitation,Temperature,Soil moisture,ET,Groundwater recharge,Runoff,TSS Yield,DN Yield,PN Yield,TN Yield,DP Yield,PP Yield,TP Yield,Soil carbon,Biodiversity
Conventional,Sample watershed,17,2002,510.3,3.42,58.1,-10.22,4.32,516.2,0.31,2.39,1.59,3.98,0.22,0.44,0.66,4.83,0.52
Conventional,Sample watershed,18,2002,510.3,3.42,57.49,-25.54,4.46,531.38,0.06,0.46,0.31,0.77,0.04,0.08,0.13,0.92,0.53
Conventional,Sample watershed,19,2002,510.3,3.42,279.74,379.31,19.4,111.59,1.42,10.24,7.17,17.41,1.03,1.97,3,88.17,0.49
Conventional,Sample watershed,20,2002,510.3,3.42,258.22,382.53,19.6,108.17,0.01,0.1,0.07,0.17,0.01,0.02,0.03,0.89,0.51
Conventional,Sample watershed,21,2002,510.3,3.42,271.67,370.73,20,119.56,4.25,27.79,19.71,47.5,2.66,5.58,8.24,267.89,0.49
Conventional,Sample watershed,22,2002,510.3,3.42,260.91,375.62,20.81,113.87,2.77,20.82,14.03,34.85,1.8,3.6,5.4,172.68,0.49
Conventional,Sample watershed,23,2002,510.3,3.42,268.98,369.93,20.81,119.56,0.34,2.51,1.67,4.18,0.23,0.49,0.72,21.19,0.48
Conventional,Sample watershed,24,2002,510.3,3.42,260.91,378.63,21.22,110.45,0.11,0.8,0.53,1.33,0.07,0.15,0.22,6.82,0.48
Conventional,Sample watershed,25,2002,510.3,3.42,255.53,380.98,20,109.31,1.15,8.07,5.82,13.89,0.81,1.57,2.38,75.38,0.49
Conventional,Sample watershed,26,2002,510.3,3.42,246.92,368.31,18,123.99,0.67,4.4,2.93,7.33,0.45,0.86,1.3,35.88,0.49
Conventional,Sample watershed,27,2002,510.3,3.42,237.24,361.07,18.91,130.32,1.06,7.89,5.48,13.38,0.77,1.46,2.23,66.39,0.48
Conventional,Sample watershed,28,2002,510.3,3.42,251.77,366.32,17.46,126.52,3.51,22.97,16.78,39.75,2.24,4.48,6.72,185.57,0.51
Conventional,Sample watershed,29,2002,510.3,3.42,254.19,368.85,17.46,123.99,3.15,21.43,15.5,36.93,2.14,4.43,6.57,180.41,0.5
Conventional,Sample watershed,1,2003,652.3,4.29,246.43,510.88,19.07,122.35,2.34,17.27,12.1,29.36,1.69,3.17,4.85,165.1,0.57
Conventional,Sample watershed,2,2003,652.3,4.29,236.57,497.63,19.44,135.23,0.35,2.59,1.66,4.25,0.24,0.47,0.71,22.87,0.54
Conventional,Sample watershed,3,2003,652.3,4.29,282.03,514.12,19.95,118.23,0.66,4.95,3.4,8.35,0.46,0.9,1.35,48.56,0.56
Conventional,Sample watershed,4,2003,652.3,4.29,260.12,510.64,19.95,121.71,2.64,18.15,12.49,30.64,1.76,3.46,5.22,202.99,0.55
Conventional,Sample watershed,5,2003,652.3,4.29,287.5,520.12,19.75,112.44,3.62,23.71,17.32,41.03,2.39,5,7.39,252.01,0.56
Conventional,Sample watershed,6,2003,652.3,4.29,260.12,517.72,20.98,113.6,0.82,5.88,4.29,10.18,0.56,1.17,1.73,62.54,0.56
Conventional,Sample watershed,7,2003,652.3,4.29,287.5,520.58,21.6,110.12,1.13,8.07,5.61,13.68,0.79,1.53,2.31,90.13,0.54
Conventional,Sample watershed,8,2003,652.3,4.29,284.77,521,21.19,110.12,0.01,0.03,0.03,0.06,0,0.01,0.01,0.41,0.58
Conventional,Sample watershed,9,2003,652.3,4.29,279.29,520.04,20.98,111.28,2.03,15.72,10.69,26.41,1.4,2.86,4.26,157.41,0.58
Conventional,Sample watershed,10,2003,652.3,4.29,236.57,499.1,19.25,133.95,0.16,1.03,0.74,1.77,0.1,0.2,0.3,10.16,0.56
Conventional,Sample watershed,11,2003,652.3,4.29,241.5,501.86,19.07,131.37,3.02,23.14,15.44,38.58,2.15,4.33,6.48,198.17,0.58
Conventional,Sample watershed,12,2003,652.3,4.29,243.97,498.93,18.14,135.23,2.87,22.91,14.85,37.76,2.11,4.16,6.27,196.24,0.57
Conventional,Sample watershed,13,2003,652.3,4.29,258.75,500.95,18.7,132.66,0.75,5.19,3.5,8.69,0.51,0.98,1.49,47.18,0.55
Conventional,Sample watershed,14,2003,652.3,4.29,234.11,506.83,19.25,126.22,7.87,61.63,37.93,99.57,5.56,11.76,17.32,583.51,0.58
Conventional,Sample watershed,15,2003,652.3,4.29,256.29,497.81,19.25,135.23,1.7,11.27,8.3,19.57,1.16,2.26,3.42,112.21,0.53
Conventional,Sample watershed,16,2003,652.3,4.29,236.57,511.43,18.51,122.35,0.23,1.75,1.24,2.99,0.16,0.33,0.5,16.91,0.58
Conventional,Sample watershed,17,2003,652.3,4.29,58.53,132.36,4.77,515.17,0.33,2.34,1.64,3.98,0.22,0.44,0.66,5.87,0.54
Conventional,Sample watershed,18,2003,652.3,4.29,64.69,111.98,4.54,535.78,0.06,0.47,0.3,0.77,0.04,0.08,0.12,1.01,0.54
Conventional,Sample watershed,19,2003,652.3,4.29,262.86,516.85,19.54,115.91,1.41,10,7.3,17.3,1.04,2.03,3.07,111.82,0.53
Conventional,Sample watershed,20,2003,652.3,4.29,265.6,511.05,19.54,121.71,0.01,0.1,0.07,0.17,0.01,0.02,0.03,1.04,0.56
Conventional,Sample watershed,21,2003,652.3,4.29,268.34,510.56,21.19,120.55,4.24,29.19,20.47,49.65,2.94,5.8,8.73,310.14,0.58
Conventional,Sample watershed,22,2003,652.3,4.29,287.5,510.43,20.16,121.71,2.9,20.59,13.47,34.06,1.97,3.81,5.79,201.73,0.57
Conventional,Sample watershed,23,2003,652.3,4.29,276.55,520.58,21.6,110.12,0.34,2.4,1.6,4.01,0.24,0.5,0.74,27.65,0.57
Conventional,Sample watershed,24,2003,652.3,4.29,262.86,512.55,20.36,119.39,0.11,0.79,0.54,1.33,0.08,0.14,0.22,7.8,0.56
Conventional,Sample watershed,25,2003,652.3,4.29,260.12,509.82,20.77,121.71,1.12,8.8,5.7,14.5,0.84,1.6,2.44,91.67,0.57
Conventional,Sample watershed,26,2003,652.3,4.29,239.04,501.49,19.44,131.37,0.64,4.85,3.01,7.86,0.43,0.88,1.31,44.13,0.53
Conventional,Sample watershed,27,2003,652.3,4.29,251.36,507.39,18.7,126.22,1.08,7.79,5.64,13.43,0.77,1.57,2.33,79.97,0.54
Conventional,Sample watershed,28,2003,652.3,4.29,258.75,502.97,17.96,131.37,3.34,25.84,16.08,41.93,2.45,4.7,7.15,242.32,0.54
Conventional,Sample watershed,29,2003,652.3,4.29,246.43,499.66,18.7,133.95,3.24,22.73,15.47,38.2,2.2,4.43,6.62,217.37,0.54
Conventional,Sample watershed,1,2004,531.21,3.87,217.77,395.89,16.86,118.46,2.09,16.03,10.7,26.73,1.42,2.8,4.21,137.43,0.53
Conventional,Sample watershed,2,2004,531.21,3.87,217.77,399.21,15.86,116.14,0.31,2.27,1.56,3.83,0.21,0.42,0.63,20.85,0.56
Conventional,Sample watershed,3,2004,531.21,3.87,251.84,405,18.55,107.66,0.58,4.55,2.86,7.42,0.41,0.84,1.25,43.84,0.56
Conventional,Sample watershed,4,2004,531.21,3.87,241.97,411.64,18.18,101.39,2.36,17.4,11.26,28.66,1.6,3.42,5.02,174.19,0.54
Conventional,Sample watershed,5,2004,531.21,3.87,246.91,407.21,19.48,104.52,3.11,23.4,14.56,37.96,2.24,4.08,6.32,239.14,0.56
Conventional,Sample watershed,6,2004,531.21,3.87,244.44,406.16,19.48,105.57,0.75,5.75,3.61,9.36,0.54,1.01,1.55,59.87,0.54
Conventional,Sample watershed,7,2004,531.21,3.87,246.91,408.26,19.48,103.48,1.02,7.8,4.81,12.61,0.74,1.49,2.23,78.18,0.55
Conventional,Sample watershed,8,2004,531.21,3.87,241.97,406.79,17.81,106.61,0,0.03,0.02,0.05,0,0.01,0.01,0.33,0.55
Conventional,Sample watershed,9,2004,531.21,3.87,234.56,403.03,19.48,108.7,1.98,13.63,8.91,22.54,1.28,2.68,3.96,133.59,0.53
Conventional,Sample watershed,10,2004,531.21,3.87,215.55,401.19,17.36,112.65,0.13,1.02,0.65,1.66,0.1,0.19,0.28,8.62,0.58
Conventional,Sample watershed,11,2004,531.21,3.87,213.33,391.74,17.53,121.94,2.83,20.07,12.72,32.79,1.81,3.75,5.56,175.27,0.56
Conventional,Sample watershed,12,2004,531.21,3.87,211.1,394.73,16.86,119.62,2.8,19.48,13.12,32.6,1.88,3.57,5.45,186.34,0.53
Conventional,Sample watershed,13,2004,531.21,3.87,226.66,398.88,16.19,116.14,0.66,4.73,3.12,7.85,0.44,0.92,1.36,43.03,0.56
Conventional,Sample watershed,14,2004,531.21,3.87,231.1,393.41,15.86,121.94,7.24,56.11,34.21,90.32,5.11,9.79,14.91,471.4,0.56
Conventional,Sample watershed,15,2004,531.21,3.87,211.1,400.37,15.86,114.98,1.51,10.05,7.42,17.47,0.99,1.98,2.97,101.21,0.55
Conventional,Sample watershed,16,2004,531.21,3.87,224.44,393.23,17.19,120.78,0.23,1.67,1.1,2.77,0.16,0.3,0.46,15.25,0.53
Conventional,Sample watershed,17,2004,531.21,3.87,53.89,39.3,4.13,487.78,0.29,2.06,1.45,3.51,0.2,0.39,0.59,4.99,0.53
Conventional,Sample watershed,18,2004,531.21,3.87,54.44,67.01,4.3,459.9,0.06,0.4,0.27,0.68,0.04,0.08,0.12,0.89,0.56
Conventional,Sample watershed,19,2004,531.21,3.87,254.31,410.53,19.29,101.39,1.3,9.11,6.39,15.51,0.9,1.78,2.67,102.81,0.56
Conventional,Sample watershed,20,2004,531.21,3.87,256.78,414.29,17.62,99.3,0.01,0.09,0.06,0.15,0.01,0.02,0.03,0.9,0.57
Conventional,Sample watershed,21,2004,531.21,3.87,256.78,409.55,18.18,103.48,3.6,26.32,19,45.32,2.67,5.28,7.95,290.92,0.54
Conventional,Sample watershed,22,2004,531.21,3.87,249.37,407.4,19.29,104.52,2.64,19.11,12.14,31.26,1.83,3.37,5.2,195.32,0.54
Conventional,Sample watershed,23,2004,531.21,3.87,246.91,408.02,17.62,105.57,0.31,2.32,1.46,3.78,0.22,0.41,0.63,23.05,0.53
Conventional,Sample watershed,24,2004,531.21,3.87,246.91,408.14,18.55,104.52,0.1,0.72,0.49,1.21,0.07,0.13,0.2,7.12,0.55
Conventional,Sample watershed,25,2004,531.21,3.87,254.31,403.21,19.29,108.7,1.01,7.56,5.04,12.6,0.72,1.51,2.24,80.3,0.55
Conventional,Sample watershed,26,2004,531.21,3.87,215.55,397.88,16.03,117.3,0.6,4.16,2.95,7.11,0.38,0.84,1.22,39.81,0.53
Conventional,Sample watershed,27,2004,531.21,3.87,213.33,396.22,16.53,118.46,0.99,7.39,5.03,12.43,0.67,1.48,2.15,68.67,0.56
Conventional,Sample watershed,28,2004,531.21,3.87,215.55,402.03,16.53,112.65,2.98,21.08,14.8,35.89,2.21,4.28,6.49,214.31,0.58
Conventional,Sample watershed,29,2004,531.21,3.87,219.99,402.52,17.19,111.49,2.78,20.5,14.65,35.14,2,4.15,6.15,192.24,0.58
Conventional,Sample watershed,1,2005,483.18,5.15,155.09,391.16,11.76,80.26,1.53,10.65,6.97,17.62,1.06,2.05,3.11,159.92,0.53
Conventional,Sample watershed,2,2005,483.18,5.15,156.61,396.49,11.19,75.49,0.21,1.61,1.06,2.67,0.14,0.29,0.44,21.27,0.55
Conventional,Sample watershed,3,2005,483.18,5.15,168.94,400.15,12.94,70.09,0.41,2.88,2.08,4.96,0.27,0.56,0.83,48.05,0.58
Conventional,Sample watershed,4,2005,483.18,5.15,175.7,400.27,12.82,70.09,1.6,11.79,8.02,19.81,1.07,2.32,3.39,189.02,0.58
Conventional,Sample watershed,5,2005,483.18,5.15,162.19,394.76,13.33,75.1,2.22,15.86,10.69,26.55,1.5,2.85,4.35,261.85,0.55
Conventional,Sample watershed,6,2005,483.18,5.15,162.19,395.52,12.56,75.1,0.53,3.82,2.45,6.27,0.36,0.71,1.07,61.25,0.54
Conventional,Sample watershed,7,2005,483.18,5.15,177.39,400.48,13.33,69.37,0.74,4.88,3.39,8.27,0.5,0.99,1.49,79.03,0.56
Conventional,Sample watershed,8,2005,483.18,5.15,170.63,397.41,12.82,72.95,0,0.02,0.02,0.04,0,0,0.01,0.36,0.58
Conventional,Sample watershed,9,2005,483.18,5.15,163.87,400.19,12.18,70.8,1.26,9.42,6.09,15.51,0.88,1.82,2.7,152.55,0.56
Conventional,Sample watershed,10,2005,483.18,5.15,147.49,396.04,11.65,75.49,0.09,0.64,0.45,1.09,0.07,0.13,0.2,10.24,0.53
Conventional,Sample watershed,11,2005,483.18,5.15,155.09,396.61,11.08,75.49,1.81,12.92,8.7,21.62,1.25,2.57,3.82,190.24,0.58
Conventional,Sample watershed,12,2005,483.18,5.15,144.45,392.52,11.19,79.47,1.79,14.14,8.62,22.75,1.3,2.49,3.79,188.38,0.54
Conventional,Sample watershed,13,2005,483.18,5.15,147.49,392.18,11.54,79.47,0.43,3.27,2.09,5.36,0.29,0.64,0.93,45.28,0.57
Conventional,Sample watershed,14,2005,483.18,5.15,145.97,392.75,10.97,79.47,4.91,38.03,24.88,62.91,3.43,7.33,10.76,517.01,0.56
Conventional,Sample watershed,15,2005,483.18,5.15,145.97,396.38,11.31,75.49,0.99,7.1,4.88,11.97,0.71,1.42,2.14,110.82,0.57
Conventional,Sample watershed,16,2005,483.18,5.15,156.61,390.25,11.88,81.05,0.14,1.07,0.71,1.78,0.1,0.2,0.31,16.07,0.56
Conventional,Sample watershed,17,2005,483.18,5.15,37.25,156.13,2.83,324.22,0.21,1.47,1.03,2.5,0.14,0.27,0.41,5.36,0.56
Conventional,Sample watershed,18,2005,483.18,5.15,38.39,172.05,2.8,308.33,0.04,0.29,0.18,0.47,0.03,0.05,0.08,0.97,0.54
Conventional,Sample watershed,19,2005,483.18,5.15,167.25,403.18,12.06,67.94,0.9,6.75,4.55,11.3,0.63,1.3,1.94,109.38,0.57
Conventional,Sample watershed,20,2005,483.18,5.15,177.39,399.89,13.2,70.09,0.01,0.06,0.04,0.11,0.01,0.01,0.02,1,0.55
Conventional,Sample watershed,21,2005,483.18,5.15,162.19,402.08,12.44,68.66,2.49,18.93,12.75,31.68,1.74,3.54,5.28,306.53,0.56
Conventional,Sample watershed,22,2005,483.18,5.15,177.39,400.07,12.31,70.8,1.77,12.46,8.22,20.68,1.19,2.5,3.69,201.73,0.58
Conventional,Sample watershed,23,2005,483.18,5.15,174.01,396.57,12.94,73.66,0.21,1.59,1.06,2.65,0.14,0.29,0.43,24.26,0.55
Conventional,Sample watershed,24,2005,483.18,5.15,165.56,397.79,12.44,72.95,0.07,0.48,0.32,0.8,0.05,0.09,0.14,7.8,0.55
Conventional,Sample watershed,25,2005,483.18,5.15,168.94,399.1,12.56,71.52,0.74,5.07,3.41,8.48,0.48,0.97,1.45,86.25,0.54
Conventional,Sample watershed,26,2005,483.18,5.15,147.49,390.82,11.31,81.05,0.39,2.73,2,4.73,0.26,0.54,0.8,40.66,0.54
Conventional,Sample watershed,27,2005,483.18,5.15,150.53,393.09,11.42,78.67,0.69,5.11,3.58,8.69,0.47,1,1.47,74.49,0.53
Conventional,Sample watershed,28,2005,483.18,5.15,144.45,391.72,11.99,79.47,2.14,15.19,10.44,25.62,1.45,2.84,4.29,225.77,0.57
Conventional,Sample watershed,29,2005,483.18,5.15,147.49,390.82,11.31,81.05,2,14.31,10.02,24.33,1.4,2.65,4.05,212.69,0.58
Conventional,Sample watershed,1,2006,706.7,5.36,209.38,582.66,15.73,108.31,2.07,14.82,10.29,25.11,1.4,2.97,4.38,183.4,0.55
Conventional,Sample watershed,2,2006,706.7,5.36,205.11,581.86,16.53,108.31,0.29,2.09,1.45,3.55,0.2,0.42,0.62,24.89,0.55
Conventional,Sample watershed,3,2006,706.7,5.36,225.52,592.68,18.55,95.47,0.59,4.04,2.89,6.94,0.42,0.82,1.24,56.2,0.55
Conventional,Sample watershed,4,2006,706.7,5.36,237.39,591.56,17.65,97.48,2.22,15.9,10.71,26.62,1.57,3.13,4.7,227.72,0.54
Conventional,Sample watershed,5,2006,706.7,5.36,242.14,588.08,17.12,101.5,2.9,20.99,14.43,35.42,2.09,4.17,6.26,285.89,0.58
Conventional,Sample watershed,6,2006,706.7,5.36,235.02,588.66,18.55,99.49,0.75,5.21,3.65,8.86,0.53,1.03,1.57,74.47,0.54
Conventional,Sample watershed,7,2006,706.7,5.36,246.89,591.56,17.65,97.48,1.03,6.86,4.86,11.72,0.71,1.4,2.12,91.52,0.57
Conventional,Sample watershed,8,2006,706.7,5.36,232.64,585.18,18.01,103.51,0,0.03,0.02,0.05,0,0.01,0.01,0.4,0.53
Conventional,Sample watershed,9,2006,706.7,5.36,235.02,584.17,18.01,104.52,1.79,12.45,8.56,21.01,1.3,2.38,3.68,167.91,0.58
Conventional,Sample watershed,10,2006,706.7,5.36,213.65,577.23,16.69,112.78,0.13,0.97,0.63,1.59,0.09,0.18,0.27,11.74,0.54
Conventional,Sample watershed,11,2006,706.7,5.36,224.34,576.27,16.53,113.9,2.67,19.29,12.61,31.91,1.79,3.65,5.44,240.95,0.58
Conventional,Sample watershed,12,2006,706.7,5.36,205.11,578.03,15.89,112.78,2.54,19.29,13.13,32.42,1.76,3.47,5.22,222.69,0.57
Conventional,Sample watershed,13,2006,706.7,5.36,207.24,579.15,15.89,111.66,0.61,4.32,2.88,7.2,0.41,0.85,1.26,51.35,0.58
Conventional,Sample watershed,14,2006,706.7,5.36,213.65,580.9,16.37,109.43,6.75,52.41,36.35,88.76,4.97,9.81,14.77,592.51,0.54
Conventional,Sample watershed,15,2006,706.7,5.36,224.34,573.57,15.89,117.25,1.34,9.87,6.99,16.86,0.97,1.88,2.86,118.55,0.58
Conventional,Sample watershed,16,2006,706.7,5.36,213.65,573.24,16.21,117.25,0.22,1.61,1,2.61,0.15,0.28,0.44,19.34,0.54
Conventional,Sample watershed,17,2006,706.7,5.36,53.95,260.55,3.97,442.18,0.29,2.01,1.44,3.44,0.19,0.41,0.61,6.46,0.54
Conventional,Sample watershed,18,2006,706.7,5.36,53.95,247.27,3.85,455.58,0.05,0.4,0.25,0.65,0.04,0.08,0.11,1.11,0.53
Conventional,Sample watershed,19,2006,706.7,5.36,235.02,586.36,17.83,102.51,1.3,9.31,6.27,15.58,0.86,1.76,2.61,121.79,0.54
Conventional,Sample watershed,20,2006,706.7,5.36,237.39,586.07,17.12,103.51,0.01,0.09,0.06,0.15,0.01,0.02,0.02,1.11,0.54
Conventional,Sample watershed,21,2006,706.7,5.36,232.64,591.27,16.94,98.49,3.61,26.85,17.74,44.6,2.52,5.08,7.6,354.96,0.56
Conventional,Sample watershed,22,2006,706.7,5.36,246.89,585.65,18.55,102.51,2.32,18.38,11.67,30.05,1.67,3.27,4.95,224.25,0.53
Conventional,Sample watershed,23,2006,706.7,5.36,249.26,588.01,18.19,100.5,0.29,2.21,1.52,3.73,0.22,0.41,0.63,28.96,0.58
Conventional,Sample watershed,24,2006,706.7,5.36,246.89,589.2,18.01,99.49,0.09,0.64,0.46,1.1,0.06,0.14,0.2,8.68,0.54
Conventional,Sample watershed,25,2006,706.7,5.36,227.9,591.39,17.83,97.48,0.95,7.12,4.89,12.01,0.7,1.35,2.05,95.03,0.56
Conventional,Sample watershed,26,2006,706.7,5.36,220.06,580.75,15.41,110.55,0.56,3.92,2.75,6.67,0.41,0.76,1.16,50.48,0.54
Conventional,Sample watershed,27,2006,706.7,5.36,215.79,579.78,16.37,110.55,0.96,7.47,4.55,12.02,0.65,1.32,1.96,86.26,0.53
Conventional,Sample watershed,28,2006,706.7,5.36,224.34,582.81,16.69,107.2,2.86,20.91,14.66,35.58,2.12,3.91,6.03,256.31,0.57
Conventional,Sample watershed,29,2006,706.7,5.36,222.2,574.04,16.53,116.13,2.62,20.1,13.14,33.25,1.94,3.76,5.7,227.16,0.53
Conventional,Sample watershed,1,2007,722.95,4.71,244,577.09,19.64,126.22,2.49,16.76,11.99,28.74,1.67,3.43,5.1,169.59,0.54
Conventional,Sample watershed,2,2007,722.95,4.71,236.53,574.69,18.14,130.12,0.34,2.62,1.71,4.33,0.23,0.48,0.7,24.19,0.58
Conventional,Sample watershed,3,2007,722.95,4.71,268.34,591.75,19.95,111.25,0.65,4.62,3.34,7.95,0.46,0.88,1.34,53.54,0.56
Conventional,Sample watershed,4,2007,722.95,4.71,287.7,581.54,20.78,120.62,2.64,19.3,13.4,32.7,1.81,3.65,5.46,214.91,0.57
Conventional,Sample watershed,5,2007,722.95,4.71,279.41,583.47,21.2,118.28,3.52,25.47,16.48,41.94,2.53,4.62,7.15,277.88,0.58
