Scenario,Watershed,LocationType,BMPType,SubArea,Year,Soil moisture onsite,ET onsite,Groundwater recharge onsite,Runoff onsite,TSS onsite,DN onsite,PN onsite,TN onsite,DP onsite,PP onsite,TP onsite,Soil carbon onsite,Biodiversity onsite,Runoff offsite,TSS offsite,DN offsite,PN offsite,TN offsite,DP offsite,PP offsite,TP offsite,BMP cost
Conventional,Sample watershed,SubArea,GWW,6,2009,1,1.02,1.03,-2.97,-9.8,-2.55,-7.5,-4.53,-2.43,-7.28,-5.67,3.03,10.1,-0.05,-0.16,-0.04,-0.12,-0.07,-0.04,-0.12,-0.09,21.92
Existing,Sample watershed,SubArea,GWW,6,2009,1.05,0.97,1,-2.97,-10,-2.58,-7.2,-4.43,-2.38,-7.43,-5.76,2.91,10.3,-0.05,-0.16,-0.04,-0.12,-0.07,-0.04,-0.12,-0.09,18.5
Conventional,Sample watershed,SubArea,GWW,6,2010,1.03,1.01,0.97,-2.88,-9.6,-2.38,-7.2,-4.31,-2.48,-7.8,-6.04,2.91,9.6,-0.05,-0.16,-0.04,-0.12,-0.07,-0.04,-0.13,-0.1,17.26
Existing,Sample watershed,SubArea,GWW,6,2010,0.98,1.03,1.01,-2.91,-10.1,-2.58,-7.58,-4.58,-2.55,-7.88,-6.12,3.06,9.5,-0.05,-0.16,-0.04,-0.12,-0.07,-0.04,-0.13,-0.1,17.87
Conventional,Sample watershed,SubArea,GWW,7,2001,1.05,0.96,0.99,-3.06,-9.5,-2.38,-7.13,-4.28,-2.53,-7.65,-5.96,3.15,9.5,-0.06,-0.2,-0.05,-0.15,-0.09,-0.05,-0.16,-0.12,26.53
Existing,Sample watershed,SubArea,GWW,7,2001,1,1.02,1,-2.85,-10.4,-2.43,-7.88,-4.61,-2.38,-7.13,-5.56,2.85,9.5,-0.06,-0.22,-0.05,-0.16,-0.1,-0.05,-0.15,-0.12,21.74
Conventional,Sample watershed,SubArea,GWW,7,2002,0.99,0.95,0.98,-2.88,-10,-2.48,-7.2,-4.37,-2.63,-7.65,-5.99,2.91,9.6,-0.06,-0.21,-0.05,-0.15,-0.09,-0.05,-0.16,-0.12,21.44
Existing,Sample watershed,SubArea,GWW,7,2002,0.99,1.04,0.96,-2.91,-10.4,-2.38,-7.73,-4.52,-2.53,-7.58,-5.91,2.85,10.3,-0.06,-0.22,-0.05,-0.16,-0.09,-0.05,-0.16,-0.12,20.16
Conventional,Sample watershed,SubArea,GWW,7,2003,0.98,1.01,0.98,-2.85,-10.1,-2.58,-7.28,-4.46,-2.63,-7.2,-5.69,3.12,9.6,-0.06,-0.21,-0.05,-0.15,-0.09,-0.05,-0.15,-0.12,21.07
Existing,Sample watershed,SubArea,GWW,7,2003,1.02,1.03,1.05,-3.12,-9.5,-2.45,-7.13,-4.32,-2.4,-7.28,-5.67,3.06,9.6,-0.06,-0.2,-0.05,-0.15,-0.09,-0.05,-0.15,-0.12,27.82
Conventional,Sample watershed,SubArea,GWW,7,2004,0.96,0.99,0.96,-3.15,-9.8,-2.43,-7.35,-4.4,-2.43,-7.35,-5.72,2.97,10.4,-0.07,-0.2,-0.05,-0.15,-0.09,-0.05,-0.15,-0.12,20.96
Existing,Sample watershed,SubArea,GWW,7,2004,0.95,0.97,0.95,-2.94,-9.5,-2.5,-7.28,-4.41,-2.4,-7.73,-5.97,2.88,10.2,-0.06,-0.2,-0.05,-0.15,-0.09,-0.05,-0.16,-0.12,27.81
Conventional,Sample watershed,SubArea,GWW,7,2005,1.03,1.02,1.02,-2.94,-10,-2.6,-7.5,-4.56,-2.5,-7.2,-5.65,2.88,10.2,-0.06,-0.21,-0.05,-0.16,-0.09,-0.05,-0.15,-0.12,19.98
Existing,Sample watershed,SubArea,GWW,7,2005,1.04,0.95,0.95,-2.88,-10.2,-2.38,-7.73,-4.52,-2.5,-7.13,-5.6,3.12,9.9,-0.06,-0.21,-0.05,-0.16,-0.09,-0.05,-0.15,-0.12,24.93
Conventional,Sample watershed,SubArea,GWW,7,2006,1.01,0.98,0.96,-3.09,-9.6,-2.4,-7.13,-4.29,-2.58,-7.8,-6.08,2.91,9.6,-0.06,-0.2,-0.05,-0.15,-0.09,-0.05,-0.16,-0.13,23.26
Existing,Sample watershed,SubArea,GWW,7,2006,0.99,1.01,0.96,-2.88,-9.8,-2.43,-7.13,-4.31,-2.48,-7.35,-5.74,3.06,9.8,-0.06,-0.2,-0.05,-0.15,-0.09,-0.05,-0.15,-0.12,19.35
Conventional,Sample watershed,SubArea,GWW,7,2007,1.04,1,1,-2.97,-9.9,-2.48,-7.65,-4.55,-2.45,-7.2,-5.63,2.97,9.6,-0.06,-0.21,-0.05,-0.16,-0.09,-0.05,-0.15,-0.12,18.98
Existing,Sample watershed,SubArea,GWW,7,2007,0.98,0.98,0.96,-2.88,-9.9,-2.55,-7.13,-4.38,-2.58,-7.43,-5.82,3.06,10.1,-0.06,-0.21,-0.05,-0.15,-0.09,-0.05,-0.15,-0.12,26.66
Conventional,Sample watershed,SubArea,GWW,7,2008,1.03,0.98,1,-3.12,-10.5,-2.38,-7.73,-4.52,-2.63,-7.5,-5.89,3.12,10.4,-0.06,-0.22,-0.05,-0.16,-0.09,-0.05,-0.16,-0.12,21.82
Existing,Sample watershed,SubArea,GWW,7,2008,1,1,1.03,-3,-10.1,-2.48,-7.28,-4.4,-2.5,-7.73,-6,3.06,10.1,-0.06,-0.21,-0.05,-0.15,-0.09,-0.05,-0.16,-0.12,21.47
Conventional,Sample watershed,SubArea,GWW,7,2009,0.98,1.05,0.96,-3.03,-10.5,-2.6,-7.5,-4.56,-2.58,-7.8,-6.08,3.06,9.7,-0.06,-0.22,-0.05,-0.16,-0.09,-0.05,-0.16,-0.13,24.52
Existing,Sample watershed,SubArea,GWW,7,2009,1.05,1,0.95,-2.97,-9.8,-2.45,-7.58,-4.5,-2.58,-7.13,-5.62,2.88,10,-0.06,-0.2,-0.05,-0.16,-0.09,-0.05,-0.15,-0.12,27.14
Conventional,Sample watershed,SubArea,GWW,7,2010,1.04,0.98,1.05,-2.85,-9.5,-2.53,-7.35,-4.46,-2.53,-7.28,-5.71,2.97,10.3,-0.06,-0.2,-0.05,-0.15,-0.09,-0.05,-0.15,-0.12,20.42
Existing,Sample watershed,SubArea,GWW,7,2010,1.04,1.03,1.02,-3.12,-10,-2.48,-7.35,-4.43,-2.45,-7.13,-5.58,2.91,9.7,-0.06,-0.21,-0.05,-0.15,-0.09,-0.05,-0.15,-0.12,23.92
Conventional,Sample watershed,SubArea,GWW,9,2001,1.04,1.03,0.95,-3.09,-9.5,-2.43,-7.13,-4.31,-2.6,-7.58,-5.93,3.09,10.1,-0.12,-0.37,-0.09,-0.27,-0.17,-0.1,-0.29,-0.23,49.35
Existing,Sample watershed,SubArea,GWW,9,2001,1.01,0.98,1.05,-3.15,-9.6,-2.43,-7.58,-4.49,-2.5,-7.2,-5.65,2.94,10.4,-0.12,-0.37,-0.09,-0.29,-0.17,-0.1,-0.28,-0.22,49.16
Conventional,Sample watershed,SubArea,GWW,9,2002,0.95,1,1.02,-3.15,-10.5,-2.53,-7.65,-4.58,-2.48,-7.43,-5.79,3.03,10.3,-0.12,-0.4,-0.1,-0.29,-0.18,-0.1,-0.29,-0.22,41.04
Existing,Sample watershed,SubArea,GWW,9,2002,0.98,1,1.02,-2.94,-10.3,-2.53,-7.28,-4.43,-2.55,-7.2,-5.67,3.06,10.2,-0.11,-0.4,-0.1,-0.28,-0.17,-0.1,-0.28,-0.22,48.44
Conventional,Sample watershed,SubArea,GWW,9,2003,1.02,1.04,0.97,-2.94,-10.2,-2.53,-7.58,-4.55,-2.38,-7.13,-5.56,2.94,10,-0.11,-0.39,-0.1,-0.29,-0.18,-0.09,-0.27,-0.21,37.24
Existing,Sample watershed,SubArea,GWW,9,2003,0.97,1.05,0.98,-3,-9.8,-2.63,-7.28,-4.49,-2.55,-7.43,-5.82,2.91,9.6,-0.12,-0.38,-0.1,-0.28,-0.17,-0.1,-0.29,-0.22,53.76
Conventional,Sample watershed,SubArea,GWW,9,2004,1.01,1.05,1.03,-2.88,-10.1,-2.63,-7.73,-4.67,-2.55,-7.88,-6.12,3.15,10.3,-0.11,-0.39,-0.1,-0.3,-0.18,-0.1,-0.3,-0.24,40.99
Existing,Sample watershed,SubArea,GWW,9,2004,1.05,0.95,1.02,-2.91,-10,-2.58,-7.35,-4.49,-2.63,-7.35,-5.79,2.97,10,-0.11,-0.39,-0.1,-0.28,-0.17,-0.1,-0.28,-0.22,38.8
Conventional,Sample watershed,SubArea,GWW,9,2005,0.97,1.03,1,-3.15,-10,-2.4,-7.58,-4.47,-2.4,-7.73,-5.97,2.88,9.8,-0.12,-0.39,-0.09,-0.29,-0.17,-0.09,-0.3,-0.23,39.53
Existing,Sample watershed,SubArea,GWW,9,2005,1.05,0.98,1.04,-2.97,-10.1,-2.5,-7.13,-4.35,-2.48,-7.65,-5.94,3.03,10,-0.11,-0.39,-0.1,-0.27,-0.17,-0.1,-0.29,-0.23,52.17
Conventional,Sample watershed,SubArea,GWW,9,2006,1.03,0.98,1.05,-2.91,-9.9,-2.63,-7.88,-4.73,-2.45,-7.5,-5.83,2.88,10.3,-0.11,-0.38,-0.1,-0.3,-0.18,-0.09,-0.29,-0.22,37.29
Existing,Sample watershed,SubArea,GWW,9,2006,0.99,1.05,0.95,-2.91,-9.5,-2.63,-7.28,-4.49,-2.5,-7.2,-5.65,3.12,10.4,-0.11,-0.37,-0.1,-0.28,-0.17,-0.1,-0.28,-0.22,34.81
Conventional,Sample watershed,SubArea,GWW,9,2007,0.95,1.03,0.99,-3,-10.2,-2.45,-7.43,-4.44,-2.45,-7.65,-5.93,3.15,10.4,-0.12,-0.39,-0.09,-0.29,-0.17,-0.09,-0.29,-0.23,37.02
Existing,Sample watershed,SubArea,GWW,9,2007,1.05,1.03,1.02,-3.09,-9.7,-2.48,-7.65,-4.55,-2.5,-7.13,-5.6,2.85,9.8,-0.12,-0.37,-0.1,-0.29,-0.18,-0.1,-0.27,-0.22,34.5
Conventional,Sample watershed,SubArea,GWW,9,2008,0.96,1.04,1,-3.15,-10.1,-2.48,-7.2,-4.37,-2.43,-7.5,-5.83,3.15,9.8,-0.12,-0.39,-0.1,-0.28,-0.17,-0.09,-0.29,-0.22,53.84
Existing,Sample watershed,SubArea,GWW,9,2008,1.05,1.02,1.02,-2.88,-9.8,-2.6,-7.8,-4.68,-2.55,-7.35,-5.77,3.06,10.4,-0.11,-0.38,-0.1,-0.3,-0.18,-0.1,-0.28,-0.22,41.75
Conventional,Sample watershed,SubArea,GWW,9,2009,1.01,1.01,0.95,-2.85,-9.9,-2.5,-7.28,-4.41,-2.58,-7.43,-5.82,2.94,9.7,-0.11,-0.38,-0.1,-0.28,-0.17,-0.1,-0.29,-0.22,36.34
Existing,Sample watershed,SubArea,GWW,9,2009,0.99,0.99,0.99,-3,-10.2,-2.6,-7.8,-4.68,-2.4,-7.58,-5.87,2.85,10.4,-0.12,-0.39,-0.1,-0.3,-0.18,-0.09,-0.29,-0.23,51.97
Conventional,Sample watershed,SubArea,GWW,9,2010,0.96,1,1,-2.88,-10.1,-2.4,-7.13,-4.29,-2.45,-7.88,-6.08,3.06,9.6,-0.11,-0.39,-0.09,-0.27,-0.17,-0.09,-0.3,-0.23,43.12
Existing,Sample watershed,SubArea,GWW,9,2010,1.04,0.96,1.05,-3.12,-10.5,-2.4,-7.65,-4.5,-2.4,-7.5,-5.82,2.91,10.2,-0.12,-0.4,-0.09,-0.29,-0.17,-0.09,-0.29,-0.22,45.7
Conventional,Sample watershed,SubArea,GWW,19,2001,1.03,1,1.02,-3.03,-9.9,-2.48,-7.88,-4.64,-2.38,-7.2,-5.61,3.03,10,-0.08,-0.28,-0.07,-0.22,-0.13,-0.07,-0.2,-0.16,31.88
Existing,Sample watershed,SubArea,GWW,19,2001,0.98,0.96,1.04,-2.88,-10.4,-2.63,-7.43,-4.55,-2.55,-7.58,-5.92,3,9.7,-0.08,-0.29,-0.07,-0.21,-0.13,-0.07,-0.21,-0.16,38.25
Conventional,Sample watershed,SubArea,GWW,19,2002,1.02,1.04,1.04,-3,-10,-2.48,-7.2,-4.37,-2.38,-7.2,-5.61,2.94,9.7,-0.08,-0.28,-0.07,-0.2,-0.12,-0.07,-0.2,-0.16,31.88
Existing,Sample watershed,SubArea,GWW,19,2002,1.04,0.98,1.01,-2.85,-9.8,-2.55,-7.35,-4.47,-2.58,-7.43,-5.82,3.15,10,-0.08,-0.27,-0.07,-0.2,-0.12,-0.07,-0.21,-0.16,25.97
Conventional,Sample watershed,SubArea,GWW,19,2003,1.04,0.95,0.96,-2.88,-9.5,-2.4,-7.58,-4.47,-2.43,-7.28,-5.67,3.09,9.7,-0.08,-0.26,-0.07,-0.21,-0.12,-0.07,-0.2,-0.16,33.21
Existing,Sample watershed,SubArea,GWW,19,2003,0.95,1.02,0.95,-3.12,-9.5,-2.4,-7.65,-4.5,-2.63,-7.28,-5.74,3.09,9.7,-0.09,-0.26,-0.07,-0.21,-0.13,-0.07,-0.2,-0.16,36.79
Conventional,Sample watershed,SubArea,GWW,19,2004,0.98,1.05,0.99,-2.94,-10.5,-2.43,-7.65,-4.52,-2.45,-7.73,-5.98,2.97,9.8,-0.08,-0.29,-0.07,-0.21,-0.13,-0.07,-0.22,-0.17,34.02
Existing,Sample watershed,SubArea,GWW,19,2004,0.98,1.01,0.98,-2.97,-9.9,-2.63,-7.43,-4.55,-2.6,-7.5,-5.88,3.12,10.3,-0.08,-0.28,-0.07,-0.21,-0.13,-0.07,-0.21,-0.16,32.79
Conventional,Sample watershed,SubArea,GWW,19,2005,1.01,1.05,1,-2.91,-10.5,-2.63,-7.65,-4.64,-2.38,-7.88,-6.06,2.97,10.2,-0.08,-0.29,-0.07,-0.21,-0.13,-0.07,-0.22,-0.17,35.12
Existing,Sample watershed,SubArea,GWW,19,2005,1.05,1.05,1.01,-2.88,-10.5,-2.6,-7.73,-4.65,-2.58,-7.73,-6.03,3.09,9.5,-0.08,-0.29,-0.07,-0.22,-0.13,-0.07,-0.22,-0.17,30.22
Conventional,Sample watershed,SubArea,GWW,19,2006,0.95,1.03,0.98,-2.91,-9.5,-2.43,-7.8,-4.58,-2.5,-7.28,-5.7,3.12,9.5,-0.08,-0.26,-0.07,-0.22,-0.13,-0.07,-0.2,-0.16,35.89
Existing,Sample watershed,SubArea,GWW,19,2006,1,0.95,1.04,-3.09,-10.1,-2.4,-7.8,-4.56,-2.53,-7.2,-5.66,3.12,10,-0.09,-0.28,-0.07,-0.22,-0.13,-0.07,-0.2,-0.16,37.52
Conventional,Sample watershed,SubArea,GWW,19,2007,0.95,0.95,0.97,-2.97,-10,-2.58,-7.28,-4.46,-2.5,-7.58,-5.9,2.94,9.9,-0.08,-0.28,-0.07,-0.2,-0.12,-0.07,-0.21,-0.16,38.8
Existing,Sample watershed,SubArea,GWW,19,2007,1.04,0.99,1.02,-2.85,-10.3,-2.38,-7.13,-4.28,-2.4,-7.58,-5.87,2.85,9.9,-0.08,-0.29,-0.07,-0.2,-0.12,-0.07,-0.21,-0.16,30.74
Conventional,Sample watershed,SubArea,GWW,19,2008,1,1.05,0.99,-2.94,-10.2,-2.43,-7.58,-4.49,-2.4,-7.58,-5.87,3.09,9.5,-0.08,-0.28,-0.07,-0.21,-0.12,-0.07,-0.21,-0.16,33.68
Existing,Sample watershed,SubArea,GWW,19,2008,1.03,1.04,1.04,-2.91,-9.9,-2.63,-7.8,-4.7,-2.58,-7.13,-5.62,3.12,9.6,-0.08,-0.28,-0.07,-0.22,-0.13,-0.07,-0.2,-0.16,28.83
Conventional,Sample watershed,SubArea,GWW,19,2009,1.05,1.05,1.01,-3.15,-10.1,-2.58,-7.88,-4.7,-2.63,-7.58,-5.94,2.97,10.3,-0.09,-0.28,-0.07,-0.22,-0.13,-0.07,-0.21,-0.17,30.46
Existing,Sample watershed,SubArea,GWW,19,2009,1.03,0.96,0.96,-3.03,-10.1,-2.58,-7.2,-4.43,-2.55,-7.8,-6.07,2.91,9.7,-0.08,-0.28,-0.07,-0.2,-0.12,-0.07,-0.22,-0.17,40.24
Conventional,Sample watershed,SubArea,GWW,19,2010,0.99,0.95,1.03,-2.88,-9.7,-2.58,-7.5,-4.55,-2.58,-7.88,-6.13,3.03,10.3,-0.08,-0.27,-0.07,-0.21,-0.13,-0.07,-0.22,-0.17,31.75
Existing,Sample watershed,SubArea,GWW,19,2010,1.03,1.01,0.98,-3.03,-10.3,-2.63,-7.13,-4.43,-2.55,-7.58,-5.92,3.12,9.9,-0.08,-0.29,-0.07,-0.2,-0.12,-0.07,-0.21,-0.16,35.94
Conventional,Sample watershed,SubArea,GWW,21,2001,1.01,1.04,0.96,-2.94,-10.5,-2.55,-7.35,-4.47,-2.55,-7.28,-5.72,3.12,10.2,-0.22,-0.79,-0.19,-0.55,-0.34,-0.19,-0.55,-0.43,82.53
Existing,Sample watershed,SubArea,GWW,21,2001,1.05,0.97,0.96,-3.03,-10.2,-2.45,-7.2,-4.35,-2.38,-7.35,-5.71,3,10.2,-0.23,-0.77,-0.18,-0.54,-0.33,-0.18,-0.55,-0.43,91.87
Conventional,Sample watershed,SubArea,GWW,21,2002,0.96,0.97,0.96,-3,-10,-2.55,-7.8,-4.65,-2.45,-7.13,-5.58,2.94,10.3,-0.23,-0.75,-0.19,-0.59,-0.35,-0.18,-0.54,-0.42,98.24
Existing,Sample watershed,SubArea,GWW,21,2002,1.01,1.03,1.03,-2.94,-9.8,-2.5,-7.8,-4.62,-2.48,-7.58,-5.89,2.91,9.7,-0.22,-0.74,-0.19,-0.59,-0.35,-0.19,-0.57,-0.44,93.05
Conventional,Sample watershed,SubArea,GWW,21,2003,0.97,1.01,0.95,-3.12,-10.4,-2.6,-7.8,-4.68,-2.4,-7.88,-6.07,3,9.6,-0.23,-0.78,-0.2,-0.59,-0.35,-0.18,-0.59,-0.46,83.06
Existing,Sample watershed,SubArea,GWW,21,2003,0.97,0.96,0.95,-2.94,-9.5,-2.38,-7.73,-4.52,-2.6,-7.8,-6.08,2.94,9.8,-0.22,-0.71,-0.18,-0.58,-0.34,-0.2,-0.59,-0.46,86.94
