Scenario,Watershed,LocationType,BMPType,BMPId,SubArea,Reach,Year,Soil moisture onsite,ET onsite,Groundwater recharge onsite,Runoff onsite,TSS onsite,DN onsite,PN onsite,TN onsite,DP onsite,PP onsite,TP onsite,Soil carbon onsite,Biodiversity onsite,Runoff offsite,TSS offsite,DN offsite,PN offsite,TN offsite,DP offsite,PP offsite,TP offsite,BMP cost
Conventional,Sample watershed,CatchBasin,MCBI,1,13,5,2001,1.01,0.5,2.94,-9.9,-24.5,-24.5,-25.5,-24.9,-24.75,-24.5,-24.58,2.45,-999,-1.66,-4.1,-4.1,-4.27,-4.17,-4.14,-4.1,-4.11,1500
Conventional,Sample watershed,CatchBasin,MCBI,1,13,5,2002,0.99,0.5,3,-10,-9.9,-25,-25.5,-25.2,-25.5,-24.75,-25,2.55,-999,-1.67,-1.66,-4.18,-4.27,-4.22,-4.27,-4.14,-4.18,1500
Conventional,Sample watershed,CatchBasin,MCBI,1,13,5,2003,1.01,0.51,2.94,-10.1,-9.9,-24.75,-25,-24.85,-24.5,-24.5,-24.5,2.55,-999,-1.69,-1.66,-4.14,-4.18,-4.16,-4.1,-4.1,-4.1,1500
Conventional,Sample watershed,CatchBasin,MCBI,1,13,5,2004,0.98,0.51,2.97,-10,-10.2,-24.75,-25,-24.85,-25.5,-25,-25.17,2.45,-999,-1.67,-1.71,-4.14,-4.18,-4.16,-4.27,-4.18,-4.21,1500
Conventional,Sample watershed,CatchBasin,MCBI,1,13,5,2005,1.02,0.5,3.03,-9.9,-10,-24.5,-25.25,-24.8,-24.75,-25,-24.92,2.55,-999,-1.66,-1.67,-4.1,-4.22,-4.15,-4.14,-4.18,-4.17,1500
Conventional,Sample watershed,CatchBasin,MCBI,1,13,5,2006,1,0.5,3,-10.2,-10.2,-24.5,-25.5,-24.9,-25,-25.5,-25.34,2.5,-999,-1.71,-1.71,-4.1,-4.27,-4.17,-4.18,-4.27,-4.24,1500
Conventional,Sample watershed,CatchBasin,MCBI,1,13,5,2007,0.98,0.51,3.03,-9.9,-9.8,-25.25,-24.5,-24.95,-25,-24.75,-24.83,2.5,-999,-1.66,-1.64,-4.22,-4.1,-4.17,-4.18,-4.14,-4.15,1500
Conventional,Sample watershed,CatchBasin,MCBI,1,13,5,2008,0.98,0.5,3.06,-9.9,-9.8,-24.75,-25.25,-24.95,-24.5,-24.5,-24.5,2.55,-999,-1.66,-1.64,-4.14,-4.22,-4.17,-4.1,-4.1,-4.1,1500
Conventional,Sample watershed,CatchBasin,MCBI,1,13,5,2009,1.01,0.5,3,-10.2,-10.1,-25,-25.5,-25.2,-24.5,-24.5,-24.5,2.5,-999,-1.71,-1.69,-4.18,-4.27,-4.22,-4.1,-4.1,-4.1,1500
Conventional,Sample watershed,CatchBasin,MCBI,1,13,5,2010,0.98,0.51,2.97,-10.1,-9.9,-24.5,-24.75,-24.6,-25,-25.25,-25.17,2.45,-999,-1.69,-1.66,-4.1,-4.14,-4.12,-4.18,-4.22,-4.21,1500
Existing,Sample watershed,IsolatedWetland,ISWET,1,7,4,2001,4.95,3.03,10.2,-5.05,-9.8,-5.05,-14.85,-8.97,-4.95,-15.3,-11.88,5.1,30.3,-0.49,-0.96,-0.49,-1.45,-0.88,-0.48,-1.5,-1.16,200
Existing,Sample watershed,IsolatedWetland,ISWET,1,7,4,2002,4.95,2.97,10.1,-5.05,-10.2,-4.95,-14.85,-8.91,-5,-14.85,-11.6,5.1,29.7,-0.49,-1,-0.48,-1.45,-0.87,-0.49,-1.45,-1.14,200
Existing,Sample watershed,IsolatedWetland,ISWET,1,7,4,2003,4.95,2.97,10.1,-4.9,-10.2,-5,-14.7,-8.88,-5.05,-14.7,-11.52,5.1,30.6,-0.48,-1,-0.49,-1.44,-0.87,-0.49,-1.44,-1.13,200
Existing,Sample watershed,IsolatedWetland,ISWET,1,7,4,2004,4.9,3.06,10,-4.95,-10.2,-5.1,-15.15,-9.12,-4.95,-15.3,-11.88,5,30,-0.48,-1,-0.5,-1.48,-0.89,-0.48,-1.5,-1.16,200
Existing,Sample watershed,IsolatedWetland,ISWET,1,7,4,2005,5,3.03,9.8,-5.1,-10,-5,-14.7,-8.88,-5,-15.15,-11.8,5,29.7,-0.5,-0.98,-0.49,-1.44,-0.87,-0.49,-1.48,-1.16,200
Existing,Sample watershed,IsolatedWetland,ISWET,1,7,4,2006,5.05,3.03,9.8,-4.95,-10.1,-5.1,-15.3,-9.18,-4.9,-14.7,-11.47,5,30.6,-0.48,-0.99,-0.5,-1.5,-0.9,-0.48,-1.44,-1.12,200
Existing,Sample watershed,IsolatedWetland,ISWET,1,7,4,2007,4.9,3.06,9.9,-5,-10.2,-4.95,-14.7,-8.85,-5.05,-15.3,-11.92,5.05,30,-0.49,-1,-0.48,-1.44,-0.87,-0.49,-1.5,-1.17,200
Existing,Sample watershed,IsolatedWetland,ISWET,1,7,4,2008,4.9,3.06,9.8,-4.95,-9.9,-4.95,-14.85,-8.91,-5.1,-14.85,-11.63,5,30,-0.48,-0.97,-0.48,-1.45,-0.87,-0.5,-1.45,-1.14,200
Existing,Sample watershed,IsolatedWetland,ISWET,1,7,4,2009,4.9,2.94,9.8,-4.9,-9.8,-5,-15,-9,-5,-14.7,-11.5,5.1,30,-0.48,-0.96,-0.49,-1.47,-0.88,-0.49,-1.44,-1.13,200
Existing,Sample watershed,IsolatedWetland,ISWET,1,7,4,2010,5.05,3.06,10.1,-5.05,-9.8,-5,-15.15,-9.06,-5,-14.85,-11.6,5,29.4,-0.49,-0.96,-0.49,-1.48,-0.89,-0.49,-1.45,-1.14,200
Existing,Sample watershed,CatchBasin,MCBI,1,13,5,2001,1.01,0.51,2.94,-10.2,-25.5,-25.25,-25.5,-25.35,-25.5,-24.5,-24.83,2.55,-999,-1.71,-4.27,-4.22,-4.27,-4.24,-4.27,-4.1,-4.15,1500
Existing,Sample watershed,CatchBasin,MCBI,1,13,5,2002,1,0.49,2.97,-10.1,-10,-24.75,-25.25,-24.95,-24.75,-24.75,-24.75,2.53,-999,-1.69,-1.67,-4.14,-4.22,-4.17,-4.14,-4.14,-4.14,1500
Existing,Sample watershed,CatchBasin,MCBI,1,13,5,2003,1.02,0.49,3,-10.1,-10,-25,-24.75,-24.9,-24.5,-24.5,-24.5,2.45,-999,-1.69,-1.67,-4.18,-4.14,-4.17,-4.1,-4.1,-4.1,1500
Existing,Sample watershed,CatchBasin,MCBI,1,13,5,2004,1.01,0.49,2.97,-10.1,-9.8,-24.75,-24.75,-24.75,-25.5,-25,-25.17,2.55,-999,-1.69,-1.64,-4.14,-4.14,-4.14,-4.27,-4.18,-4.21,1500
Existing,Sample watershed,CatchBasin,MCBI,1,13,5,2005,1,0.5,2.97,-9.8,-10.2,-25.5,-25,-25.3,-25.5,-24.75,-25,2.55,-999,-1.64,-1.71,-4.27,-4.18,-4.23,-4.27,-4.14,-4.18,1500
Existing,Sample watershed,CatchBasin,MCBI,1,13,5,2006,0.99,0.5,3,-9.8,-9.8,-24.75,-25.25,-24.95,-25,-25.25,-25.17,2.53,-999,-1.64,-1.64,-4.14,-4.22,-4.17,-4.18,-4.22,-4.21,1500
Existing,Sample watershed,CatchBasin,MCBI,1,13,5,2007,0.98,0.5,3,-10.1,-10,-25,-25.25,-25.1,-25.25,-25,-25.08,2.45,-999,-1.69,-1.67,-4.18,-4.22,-4.2,-4.22,-4.18,-4.2,1500
Existing,Sample watershed,CatchBasin,MCBI,1,13,5,2008,1,0.5,3,-10.1,-10.2,-24.75,-24.75,-24.75,-25.5,-25.5,-25.5,2.5,-999,-1.69,-1.71,-4.14,-4.14,-4.14,-4.27,-4.27,-4.27,1500
Existing,Sample watershed,CatchBasin,MCBI,1,13,5,2009,0.99,0.51,3.03,-10.1,-10.2,-25.25,-25.25,-25.25,-25,-24.5,-24.67,2.53,-999,-1.69,-1.71,-4.22,-4.22,-4.22,-4.18,-4.1,-4.13,1500
Existing,Sample watershed,CatchBasin,MCBI,1,13,5,2010,1.02,0.49,3,-9.8,-9.8,-25.25,-24.75,-25.05,-25.25,-24.75,-24.92,2.53,-999,-1.64,-1.64,-4.22,-4.14,-4.19,-4.22,-4.14,-4.17,1500
Conventional,Sample watershed,IsolatedWetland,ISWET,2,9,6,2001,2.04,1.49,5.1,-4.08,-7.35,-3.96,-10.78,-6.69,-3.92,-10.89,-8.59,3.06,25.5,-0.47,-0.84,-0.45,-1.24,-0.77,-0.45,-1.25,-0.98,150
Conventional,Sample watershed,IsolatedWetland,ISWET,2,9,6,2002,2.04,1.49,5,-4.04,-7.65,-3.96,-11,-6.78,-4.04,-10.78,-8.56,3.06,25,-0.46,-0.88,-0.45,-1.26,-0.78,-0.46,-1.24,-0.98,150
Conventional,Sample watershed,IsolatedWetland,ISWET,2,9,6,2003,2.04,1.5,4.9,-3.92,-7.58,-4.08,-10.89,-6.8,-3.92,-11.11,-8.74,3.06,25,-0.45,-0.87,-0.47,-1.25,-0.78,-0.45,-1.27,-1,150
Conventional,Sample watershed,IsolatedWetland,ISWET,2,9,6,2004,2.04,1.47,4.9,-4.04,-7.43,-4,-11,-6.8,-4.08,-10.89,-8.64,2.97,25.25,-0.46,-0.85,-0.46,-1.26,-0.78,-0.47,-1.25,-0.99,150
Conventional,Sample watershed,IsolatedWetland,ISWET,2,9,6,2005,1.96,1.53,5.05,-4.04,-7.65,-4.08,-10.78,-6.76,-4.04,-10.78,-8.56,3.03,25.5,-0.46,-0.88,-0.47,-1.24,-0.78,-0.46,-1.24,-0.98,150
Conventional,Sample watershed,IsolatedWetland,ISWET,2,9,6,2006,1.96,1.53,4.95,-3.92,-7.65,-4,-10.78,-6.71,-4.04,-11.11,-8.78,2.94,25,-0.45,-0.88,-0.46,-1.24,-0.77,-0.46,-1.27,-1.01,150
Conventional,Sample watershed,IsolatedWetland,ISWET,2,9,6,2007,2,1.53,5.05,-3.92,-7.58,-4,-11,-6.8,-4,-10.89,-8.62,3,24.5,-0.45,-0.87,-0.46,-1.26,-0.78,-0.46,-1.25,-0.99,150
Conventional,Sample watershed,IsolatedWetland,ISWET,2,9,6,2008,2,1.5,5,-4.08,-7.58,-3.92,-10.89,-6.71,-4.04,-10.78,-8.56,3,25.5,-0.47,-0.87,-0.45,-1.25,-0.77,-0.46,-1.24,-0.98,150
Conventional,Sample watershed,IsolatedWetland,ISWET,2,9,6,2009,2.02,1.53,5,-4.08,-7.43,-4.04,-11.22,-6.91,-3.92,-11.11,-8.74,3,24.75,-0.47,-0.85,-0.46,-1.29,-0.79,-0.45,-1.27,-1,150
Conventional,Sample watershed,IsolatedWetland,ISWET,2,9,6,2010,2.02,1.52,4.95,-4.08,-7.58,-4.08,-11.22,-6.94,-4,-11,-8.69,3.03,25.5,-0.47,-0.87,-0.47,-1.29,-0.8,-0.46,-1.26,-1,150
Existing,Sample watershed,IsolatedWetland,ISWET,2,9,6,2001,2.04,1.53,4.9,-3.96,-7.35,-4.08,-11,-6.85,-3.96,-10.78,-8.53,3.03,24.75,-0.45,-0.84,-0.47,-1.26,-0.79,-0.45,-1.24,-0.98,150
Existing,Sample watershed,IsolatedWetland,ISWET,2,9,6,2002,2.02,1.53,4.9,-4,-7.43,-4.08,-10.89,-6.8,-4,-11.11,-8.76,2.97,24.75,-0.46,-0.85,-0.47,-1.25,-0.78,-0.46,-1.27,-1,150
Existing,Sample watershed,IsolatedWetland,ISWET,2,9,6,2003,2.04,1.53,5,-3.92,-7.5,-4,-11.22,-6.89,-4,-10.78,-8.54,3.06,24.5,-0.45,-0.86,-0.46,-1.29,-0.79,-0.46,-1.24,-0.98,150
Existing,Sample watershed,IsolatedWetland,ISWET,2,9,6,2004,1.98,1.49,5.1,-4,-7.43,-3.92,-10.89,-6.71,-4,-11.11,-8.76,3,24.75,-0.46,-0.85,-0.45,-1.25,-0.77,-0.46,-1.27,-1,150
Existing,Sample watershed,IsolatedWetland,ISWET,2,9,6,2005,2.02,1.52,5.05,-3.92,-7.58,-3.96,-11,-6.78,-4.08,-10.89,-8.64,3,25.5,-0.45,-0.87,-0.45,-1.26,-0.78,-0.47,-1.25,-0.99,150
Existing,Sample watershed,IsolatedWetland,ISWET,2,9,6,2006,1.98,1.49,5.1,-4.08,-7.65,-3.96,-11.11,-6.82,-3.92,-11,-8.66,2.97,24.5,-0.47,-0.88,-0.45,-1.27,-0.78,-0.45,-1.26,-0.99,150
Existing,Sample watershed,IsolatedWetland,ISWET,2,9,6,2007,2,1.53,5.05,-4.04,-7.35,-3.96,-11.11,-6.82,-3.96,-10.78,-8.53,3,24.5,-0.46,-0.84,-0.45,-1.27,-0.78,-0.45,-1.24,-0.98,150
Existing,Sample watershed,IsolatedWetland,ISWET,2,9,6,2008,2,1.52,4.9,-4.04,-7.35,-3.92,-11.22,-6.84,-3.96,-11,-8.68,2.97,24.5,-0.46,-0.84,-0.45,-1.29,-0.78,-0.45,-1.26,-0.99,150
Existing,Sample watershed,IsolatedWetland,ISWET,2,9,6,2009,1.98,1.53,5.1,-4.04,-7.58,-4.08,-10.89,-6.8,-4,-10.78,-8.54,3.06,25.5,-0.46,-0.87,-0.47,-1.25,-0.78,-0.46,-1.24,-0.98,150
Existing,Sample watershed,IsolatedWetland,ISWET,2,9,6,2010,2.02,1.52,4.9,-4.08,-7.43,-4.08,-11,-6.85,-4,-11.11,-8.76,2.94,24.75,-0.47,-0.85,-0.47,-1.26,-0.79,-0.46,-1.27,-1,150
Conventional,Sample watershed,IsolatedWetland,ISWET,3,12,3,2001,7.58,5.56,15,-12.12,-20.2,-10.1,-19.8,-13.98,-10.1,-19.6,-16.47,12,34.3,-4.56,-7.6,-3.8,-7.44,-5.26,-3.8,-7.37,-6.19,500
Conventional,Sample watershed,IsolatedWetland,ISWET,3,12,3,2002,7.58,5.61,15.3,-11.76,-20.4,-9.9,-19.6,-13.78,-10.2,-20,-16.77,11.88,34.3,-4.42,-7.67,-3.72,-7.37,-5.18,-3.84,-7.52,-6.3,500
Conventional,Sample watershed,IsolatedWetland,ISWET,3,12,3,2003,7.58,5.5,14.85,-12.24,-20.4,-9.8,-20,-13.88,-10,-20.2,-16.83,12.24,35,-4.6,-7.67,-3.68,-7.52,-5.22,-3.76,-7.6,-6.33,500
Conventional,Sample watershed,IsolatedWetland,ISWET,3,12,3,2004,7.58,5.45,15,-11.88,-20,-10.1,-20.4,-14.22,-9.8,-19.6,-16.37,11.76,35.7,-4.47,-7.52,-3.8,-7.67,-5.35,-3.68,-7.37,-6.15,500
Conventional,Sample watershed,IsolatedWetland,ISWET,3,12,3,2005,7.43,5.39,14.85,-11.88,-20.4,-10.2,-20.4,-14.28,-10.1,-19.8,-16.6,11.88,35,-4.47,-7.67,-3.84,-7.67,-5.37,-3.8,-7.44,-6.24,500
Conventional,Sample watershed,IsolatedWetland,ISWET,3,12,3,2006,7.65,5.39,15,-11.76,-20,-9.8,-19.8,-13.8,-10.2,-20.2,-16.9,12.12,34.3,-4.42,-7.52,-3.68,-7.44,-5.19,-3.84,-7.6,-6.35,500
Conventional,Sample watershed,IsolatedWetland,ISWET,3,12,3,2007,7.65,5.61,14.7,-12.12,-19.8,-10.2,-20.2,-14.2,-10,-19.8,-16.57,12.12,35.35,-4.56,-7.44,-3.84,-7.6,-5.34,-3.76,-7.44,-6.23,500
Conventional,Sample watershed,IsolatedWetland,ISWET,3,12,3,2008,7.43,5.45,15.3,-11.76,-20,-10,-19.8,-13.92,-10.2,-20,-16.77,12,35.7,-4.42,-7.52,-3.76,-7.44,-5.23,-3.84,-7.52,-6.3,500
Conventional,Sample watershed,IsolatedWetland,ISWET,3,12,3,2009,7.65,5.5,14.85,-11.76,-20.2,-10.1,-20,-14.06,-9.8,-20.2,-16.77,11.88,35.35,-4.42,-7.6,-3.8,-7.52,-5.29,-3.68,-7.6,-6.3,500
Conventional,Sample watershed,IsolatedWetland,ISWET,3,12,3,2010,7.43,5.39,14.85,-12.12,-19.6,-10,-20,-14,-10.2,-20,-16.77,12.12,35,-4.56,-7.37,-3.76,-7.52,-5.26,-3.84,-7.52,-6.3,500
Existing,Sample watershed,IsolatedWetland,ISWET,3,12,3,2001,7.65,5.5,15,-12.24,-19.6,-10.2,-19.6,-13.96,-10.1,-19.8,-16.6,12.12,35.35,-4.6,-7.37,-3.84,-7.37,-5.25,-3.8,-7.44,-6.24,500
Existing,Sample watershed,IsolatedWetland,ISWET,3,12,3,2002,7.58,5.45,15.3,-12,-19.6,-10,-20.4,-14.16,-10.2,-20.4,-17.03,12.24,34.65,-4.51,-7.37,-3.76,-7.67,-5.32,-3.84,-7.67,-6.4,500
Existing,Sample watershed,IsolatedWetland,ISWET,3,12,3,2003,7.43,5.45,15,-12.12,-20,-9.9,-20.2,-14.02,-9.9,-20.2,-16.8,12.24,35,-4.56,-7.52,-3.72,-7.6,-5.27,-3.72,-7.6,-6.32,500
Existing,Sample watershed,IsolatedWetland,ISWET,3,12,3,2004,7.5,5.56,14.7,-11.76,-20.4,-10.1,-19.6,-13.9,-10.2,-20.4,-17.03,11.76,35.35,-4.42,-7.67,-3.8,-7.37,-5.23,-3.84,-7.67,-6.4,500
Existing,Sample watershed,IsolatedWetland,ISWET,3,12,3,2005,7.35,5.61,15,-12.24,-20,-9.9,-20.4,-14.1,-10.1,-20.4,-17,12.12,35,-4.6,-7.52,-3.72,-7.67,-5.3,-3.8,-7.67,-6.39,500
Existing,Sample watershed,IsolatedWetland,ISWET,3,12,3,2006,7.43,5.61,15,-11.76,-20,-10.2,-20.2,-14.2,-9.8,-20.2,-16.77,12.24,35.35,-4.42,-7.52,-3.84,-7.6,-5.34,-3.68,-7.6,-6.3,500
Existing,Sample watershed,IsolatedWetland,ISWET,3,12,3,2007,7.43,5.61,15.15,-12.24,-20.2,-10.1,-19.8,-13.98,-9.8,-19.6,-16.37,12.24,34.65,-4.6,-7.6,-3.8,-7.44,-5.26,-3.68,-7.37,-6.15,500
Existing,Sample watershed,IsolatedWetland,ISWET,3,12,3,2008,7.43,5.61,15,-12.12,-20.4,-10,-19.6,-13.84,-10.2,-19.6,-16.5,11.88,35.7,-4.56,-7.67,-3.76,-7.37,-5.2,-3.84,-7.37,-6.2,500
Existing,Sample watershed,IsolatedWetland,ISWET,3,12,3,2009,7.35,5.5,15.3,-12,-19.6,-10,-19.8,-13.92,-9.9,-20,-16.67,11.88,35.35,-4.51,-7.37,-3.76,-7.44,-5.23,-3.72,-7.52,-6.27,500
Existing,Sample watershed,IsolatedWetland,ISWET,3,12,3,2010,7.58,5.61,14.85,-11.76,-20.4,-10.1,-20,-14.06,-9.9,-19.8,-16.53,12.24,35.7,-4.42,-7.67,-3.8,-7.52,-5.29,-3.72,-7.44,-6.22,500
